 ------------------------------------------------------------------- ------------- -------- ------ --------------------------------------------------------------------------------------------- 
  Name                                                                Method        Scheme   Host   Path                                                                                         
  api.action.order.state_machine.order_transaction.transition_state   POST          ANY      ANY    /api/v{version}/_action/order_transaction/{orderTransactionId}/state/{transition}            
  api.action.order.state_machine.order_delivery.transition_state      POST          ANY      ANY    /api/v{version}/_action/order_delivery/{orderDeliveryId}/state/{transition}                  
  store-api.payment.handle                                            GET|POST      ANY      ANY    /store-api/v{version}/handle-payment                                                         
  store-api.payment.method                                            GET|POST      ANY      ANY    /store-api/v{version}/payment-method                                                         
  store-api.shipping.method                                           GET|POST      ANY      ANY    /store-api/v{version}/shipping-method                                                        
  store-api.account.change-profile                                    POST          ANY      ANY    /store-api/v{version}/account/change-profile                                                 
  store-api.account.change-email                                      POST          ANY      ANY    /store-api/v{version}/account/change-email                                                   
  store-api.account.change-password                                   POST          ANY      ANY    /store-api/v{version}/account/change-password                                                
  store-api.account.set.payment-method                                POST          ANY      ANY    /store-api/v{version}/account/change-payment-method/{paymentMethodId}                        
  store-api.account.customer                                          GET           ANY      ANY    /store-api/v{version}/account/customer                                                       
  store-api.account.login                                             POST          ANY      ANY    /store-api/v{version}/account/login                                                          
  store-api.account.logout                                            POST          ANY      ANY    /store-api/v{version}/account/logout                                                         
  store-api.account.register.confirm                                  POST          ANY      ANY    /store-api/v{version}/account/register-confirm                                               
  store-api.account.register                                          POST          ANY      ANY    /store-api/v{version}/account/register                                                       
  store-api.account.recovery.password                                 POST          ANY      ANY    /store-api/v{version}/account/recovery-password-confirm                                      
  store-api.account.recovery.send.mail                                POST          ANY      ANY    /store-api/v{version}/account/recovery-password                                              
  store-api.order.state.cancel                                        POST          ANY      ANY    /store-api/v{version}/order/state/cancel                                                     
  store-api.order                                                     GET|POST      ANY      ANY    /store-api/v{version}/order                                                                  
  store-api.order.set-payment                                         POST          ANY      ANY    /store-api/v{version}/order/payment                                                          
  store-api.checkout.cart.delete                                      DELETE        ANY      ANY    /store-api/v{version}/checkout/cart                                                          
  store-api.checkout.cart.add                                         POST          ANY      ANY    /store-api/v{version}/checkout/cart/line-item                                                
  store-api.checkout.cart.remove-item                                 DELETE        ANY      ANY    /store-api/v{version}/checkout/cart/line-item                                                
  store-api.checkout.cart.update-lineitem                             PATCH         ANY      ANY    /store-api/v{version}/checkout/cart/line-item                                                
  store-api.checkout.cart.read                                        GET|POST      ANY      ANY    /store-api/v{version}/checkout/cart                                                          
  store-api.checkout.cart.order                                       POST          ANY      ANY    /store-api/v{version}/checkout/order                                                         
  _wdt                                                                ANY           ANY      ANY    /_wdt/{token}                                                                                
  _profiler_home                                                      ANY           ANY      ANY    /_profiler/                                                                                  
  _profiler_search                                                    ANY           ANY      ANY    /_profiler/search                                                                            
  _profiler_search_bar                                                ANY           ANY      ANY    /_profiler/search_bar                                                                        
  _profiler_phpinfo                                                   ANY           ANY      ANY    /_profiler/phpinfo                                                                           
  _profiler_search_results                                            ANY           ANY      ANY    /_profiler/{token}/search/results                                                            
  _profiler_open_file                                                 ANY           ANY      ANY    /_profiler/open                                                                              
  _profiler                                                           ANY           ANY      ANY    /_profiler/{token}                                                                           
  _profiler_router                                                    ANY           ANY      ANY    /_profiler/{token}/router                                                                    
  _profiler_exception                                                 ANY           ANY      ANY    /_profiler/{token}/exception                                                                 
  _profiler_exception_css                                             ANY           ANY      ANY    /_profiler/{token}/exception.css                                                             
  administration.index                                                GET           ANY      ANY    /admin                                                                                       
  api.admin.snippets                                                  GET           ANY      ANY    /api/v{version}/_admin/snippets                                                              
  frontend.account.order.page                                         GET           ANY      ANY    /account/order                                                                               
  frontend.account.order.single.page                                  GET           ANY      ANY    /account/order/{deepLinkCode}                                                                
  widgets.account.order.detail                                        GET           ANY      ANY    /widgets/account/order/detail/{id}                                                           
  frontend.account.order.cancel                                       POST          ANY      ANY    /account/order/cancel                                                                        
  frontend.account.edit-order.page                                    GET           ANY      ANY    /account/order/edit/{orderId}                                                                
  frontend.account.edit-order.change-payment-method                   POST          ANY      ANY    /account/order/payment/{orderId}                                                             
  frontend.account.edit-order.update-order                            POST          ANY      ANY    /account/order/update/{orderId}                                                              
  frontend.account.payment.page                                       GET           ANY      ANY    /account/payment                                                                             
